estacao_codigo,estacao_nome,latitude,longitude,altitude_m,data_inicial,data_final
A043,CAMPOS LINDOS,-8.15472222,-46.63944444,426.56,2019-01-01,2025-12-31
A044,ARAGUATINS,-5.6436111,-48.11194444,130.71,2019-01-01,2025-12-31
A045,AGUAS EMENDADAS,-15.59638888,-47.62583332,1030.36,2019-01-01,2025-12-31
A046,GAMA (PONTE ALTA),-15.93527777,-48.13749999,990.0,2019-01-01,2025-12-31
A047,PARANOA (COOPA-DF),-16.01222222,-47.5575,1043.0,2019-01-01,2025-12-31
A048,SANTA FE DO ARAGUAIA,-7.12416666,-48.78138888,171.0,2019-01-01,2025-12-31
A049,COLINAS DO TOCANTINS,-8.09277777,-48.4786111,200.0,2019-01-01,2025-12-31
A050,RIO SONO,-9.793363,-47.132732,291.0,2019-01-01,2025-12-31
A051,PIUM,-10.47694443,-49.62944443,161.0,2019-01-01,2025-12-31
A052,SANTA ROSA DO TOCANTINS,-11.42888888,-48.18499999,306.0,2019-01-01,2025-12-31
A053,ALMAS,-11.28416666,-47.21222222,503.0,2019-01-01,2025-12-31
A054,ARAGUACU,-12.59222221,-49.5286111,231.0,2019-01-01,2025-12-31
A055,LAGOA DA CONFUSAO,-10.828286,-49.847882,178.0,2019-01-01,2025-12-31
A056,CRISTALINA (FAZENDA SANTA MONICA),-16.39944444,-47.62583332,932.0,2019-01-01,2025-12-31
A101,MANAUS,-3.10333333,-60.01638888,61.25,2019-01-01,2025-12-31
A102,PARQUE ESTADUAL CHANDLESS,-9.35833333,-69.92638888,184.51,2019-01-01,2025-12-31
A104,RIO BRANCO,-9.95916666,-67.86888888,163.0,2019-01-01,2025-12-31
A108,CRUZEIRO DO SUL,-7.61055555,-72.6811111,220.0,2019-01-01,2025-12-31
A109,EIRUNEPE,-6.65027777,-69.8686111,121.54,2019-01-01,2025-12-31
A110,BOCA DO ACRE,-8.77666666,-67.33249999,111.98,2019-01-01,2025-12-31
A111,LABREA,-7.26055555,-64.7886111,61.91,2019-01-01,2025-12-31
A112,HUMAITA,-7.5525,-63.07138888,53.56,2019-01-01,2025-12-31
A113,APUI,-7.20555555,-59.8886111,156.97,2019-01-01,2025-12-31
A117,COARI,-4.09749999,-63.14527777,33.84,2019-01-01,2025-12-31
A119,MANACAPURU,-3.29472221,-60.62833332,36.57,2019-01-01,2025-12-31
A120,AUTAZES,-3.58333333,-59.12944443,19.9,2019-01-01,2025-12-31
A121,ITACOATIARA,-3.13333333,-58.48277777,41.54,2019-01-01,2025-12-31
A122,MAUES,-3.39888888,-57.67388888,25.49,2019-01-01,2025-12-31
A123,PARINTINS,-2.63916666,-56.75611111,18.72,2019-01-01,2025-12-31
A124,URUCARA,-2.53472221,-57.75805555,18.49,2019-01-01,2025-12-31
A125,RIO URUBU,-2.6336111,-59.60055555,112.84,2019-01-01,2025-12-31
A126,PRESIDENTE FIGUEIREDO,-2.05666666,-60.02583332,60.99,2019-01-01,2025-12-31
A128,BARCELOS,-0.98722221,-62.92416666,29.88,2019-01-01,2025-12-31
A133,MANICORE,-5.7886111,-61.28833333,40.64,2019-01-01,2025-12-31
A134,S. G. DA CACHOEIRA,-0.12527777,-67.06111111,79.67,2019-01-01,2025-12-31
A135,BOA VISTA,2.81694443,-60.69083333,82.35,2019-01-01,2025-12-31
A136,PORTO WALTER,-8.26722221,-72.74777777,205.35,2019-01-01,2025-12-31
A137,MARECHAL THAUMATURGO,-8.95,-72.78666666,220.98,2019-01-01,2025-12-31
A138,FEIJO,-8.14277777,-70.3436111,157.17,2019-01-01,2025-12-31
A140,EPITACIOLANDIA,-11.02388888,-68.73527777,224.5,2019-01-01,2025-12-31
A144,NOVO ARIPUANA,-8.0911111,-60.38055554,45.0,2019-07-17,2025-12-31
A201,BELEM,-1.41111111,-48.43944444,21.17,2019-01-01,2025-12-31
A202,CASTANHAL,-1.30083333,-47.94805555,47.13,2019-01-01,2025-12-31
A203,SAO LUIS,-2.52666666,-44.21361111,54.8,2019-01-01,2025-12-31
A204,BALSAS,-7.45555555,-46.02749999,271.03,2019-01-01,2025-12-31
A205,CAROLINA,-7.33722221,-47.45972222,182.88,2019-01-01,2025-12-31
A206,CHAPADINHA,-3.74277777,-43.35222222,104.0,2019-01-01,2025-12-31
A207,GRAJAU,-5.81611111,-46.16222222,232.29,2019-01-01,2025-12-31
A209,MEDICILANDIA,-3.51083333,-52.96333333,251.68,2019-01-01,2025-12-31
A210,PACAJA,-3.8436111,-50.63805555,89.02,2019-01-01,2025-12-31
A211,PLACAS,-3.86416666,-54.21638888,100.45,2019-01-01,2025-12-31
A212,PARAGOMINAS,-2.90055555,-47.49499999,88.0,2019-01-01,2025-12-31
A213,TOME ACU,-2.59249999,-48.36055555,42.95,2019-01-01,2025-12-31
A214,RONDON DO PARA,-4.82749999,-48.1736111,203.0,2019-01-01,2025-12-31
A215,SALINOPOLIS,-0.61888888,-47.35666666,23.18,2019-01-01,2025-12-31
A216,SAO FELIX DO XINGU,-6.63972221,-51.95694444,211.0,2019-01-01,2025-12-31
A217,FAROL de SANTANA,-2.27083332,-43.62416666,9.87,2019-01-01,2025-12-31
A218,PREGUICAS,-2.59222221,-42.7075,4.62,2019-01-01,2025-12-31
A219,TURIACU,-1.66111111,-45.37249999,35.86,2019-01-01,2025-12-31
A220,BACABAL,-4.24305555,-44.79499999,22.33,2019-01-01,2025-12-31
A221,BARRA DO CORDA,-5.50666666,-45.23694444,154.19,2019-01-01,2025-12-31
A222,COLINAS,-6.03305554,-44.23333333,175.37,2019-01-01,2025-12-31
A223,ALTO PARNAIBA,-9.10833333,-45.93194443,283.69,2019-01-01,2025-12-31
A224,ESTREITO,-6.65333333,-47.41833332,182.96,2019-01-01,2025-12-31
A225,IMPERATRIZ,-5.55583333,-47.45972222,117.96,2019-01-01,2025-12-31
A226,BRAGANCA,-1.05583333,-46.78277777,5.6,2019-01-01,2025-12-31
A227,SOURE,-0.72777777,-48.51583333,12.54,2019-01-01,2025-12-31
A228,BREVES,-1.68027777,-50.47805554,11.0,2019-01-01,2025-12-31
A229,TUCURUI,-3.82277777,-49.67499999,137.94,2019-01-01,2025-12-31
A230,SERRA DOS CARAJAS,-6.07749999,-50.14222221,707.0,2019-01-01,2025-12-31
A231,ITAITUBA,-4.27694443,-55.99305555,24.46,2019-01-01,2025-12-31
A232,OBIDOS,-1.88083332,-55.51972221,89.64,2019-01-01,2025-12-31
A233,SANTANA DO ARAGUAIA,-9.34055555,-50.35027777,154.0,2019-01-01,2025-12-31
A234,TUCUMA,-6.74333333,-51.14194444,320.93,2019-01-01,2025-12-31
A235,NOVO REPARTIMENTO,-4.24388888,-49.93944444,100.76,2019-01-01,2025-12-31
A236,CAMETA,-2.23972221,-49.49972221,9.92,2019-01-01,2025-12-31
A237,CAXIAS,-4.82138888,-43.3436111,84.85,2019-01-01,2025-12-31
A238,BURITICUPU,-4.32055554,-46.44944444,174.91,2019-01-01,2025-12-31
A239,MONTE ALEGRE,-2.0,-54.07638888,100.53,2019-01-01,2025-12-31
A240,MARABA,-5.36638888,-49.05111111,116.58,2019-01-01,2025-12-31
A241,CONCEICAO DO ARAGUAIA,-8.30361111,-49.28277777,175.74,2019-01-01,2025-12-31
A242,OIAPOQUE,3.81361111,-51.8625,15.14,2019-01-01,2025-12-31
A244,PORTO GRANDE,0.69416666,-51.40388888,84.8,2019-01-01,2025-12-31
A245,PORTO DE MOZ,-1.82194443,-52.11166666,19.0,2022-04-06,2025-12-31
A246,MINA DO PALITO,-6.31999999,-55.78777777,259.88,2019-01-01,2025-12-31
A247,XINGUARA,-7.11055555,-49.9261111,245.0,2019-01-01,2025-12-31
A248,CAPITAO POCO,-1.73472221,-47.0575,79.1,2019-01-01,2025-12-31
A249,MACAPA,0.03499999,-51.08888888,16.62,2019-01-01,2025-12-31
A250,SANTAREM,-2.5025,-54.72027777,137.0,2019-01-01,2025-12-31
A251,ITAUBAL,0.56777777,-50.8236111,21.0,2019-01-01,2025-12-31
A252,DOM ELISEU,-4.28055554,-47.56388888,251.0,2019-01-01,2025-12-31
A253,ALTAMIRA,-3.26999999,-52.39472221,191.0,2019-01-01,2025-12-31
A254,REDENCAO,-8.04333333,-50.00694444,199.0,2019-07-10,2025-12-31
A255,ZE DOCA,-3.26916666,-45.65111111,45.5,2019-09-17,2025-12-31
A256,SANTA MARIA DAS BARREIRAS,-8.72972221,-49.85638888,165.0,2020-12-17,2025-12-31
A301,RECIFE,-8.05916666,-34.95916666,11.3,2019-01-01,2021-11-11
A302,ARQ.SAO PEDRO E SAO PAULO,0.91694443,-29.34583333,15.0,2019-01-01,2021-04-25
A303,MACEIO,-9.55111111,-35.77027777,84.12,2019-01-01,2025-12-31
A304,NATAL,-5.83722221,-35.20805555,47.46,2019-01-01,2025-12-31
A305,FORTALEZA,-3.81583333,-38.53777777,29.55,2019-01-01,2025-12-31
A306,SOBRAL,-3.74805555,-40.34583333,92.07,2019-01-01,2025-12-31
A307,PETROLINA,-9.38833333,-40.52333332,372.72,2019-01-01,2025-12-31
A308,PARNAIBA,-3.08666666,-41.78305554,52.11,2019-01-01,2025-12-31
A309,ARCO VERDE,-8.4336111,-37.05555555,683.95,2019-01-01,2025-12-31
A310,AREIA,-6.97555554,-35.71805554,573.45,2019-01-01,2025-12-31
A311,FLORIANO,-6.76138888,-43.00333333,126.39,2019-01-01,2025-12-31
A312,TERESINA,-5.03472221,-42.80138888,75.23,2019-01-01,2025-12-31
A313,CAMPINA GRANDE,-7.22555554,-35.90472222,546.17,2019-01-01,2025-12-31
A314,GUARAMIRANGA,-4.22916666,-38.95888888,865.53,2019-01-01,2025-12-31
A315,BARBALHA,-7.30083333,-39.2711111,409.41,2019-01-01,2025-12-31
A316,CAICO,-6.46749999,-37.08499999,171.26,2019-01-01,2025-12-31
A317,MACAU,-5.15111111,-36.57305554,17.37,2019-01-01,2025-12-31
A318,MOSSORO,-4.90416666,-37.36694443,29.44,2019-01-01,2025-12-31
A319,IGUATU,-6.39638888,-39.26888888,221.56,2019-01-01,2025-12-31
A320,JOAO PESSOA,-7.14083333,-34.85083333,43.0,2019-01-01,2025-12-31
A321,PATOS,-7.07972221,-37.27277777,263.66,2019-01-01,2025-12-31
A322,GARANHUNS,-8.91083333,-36.49333333,827.78,2019-01-01,2025-12-31
A323,PAO DE ACUCAR,-9.74916666,-37.43083332,20.83,2019-01-01,2025-12-31
A324,TAUA,-6.01749999,-40.28138888,410.87,2019-01-01,2025-12-31
A325,QUIXERAMOBIM,-5.17444443,-39.28944444,221.04,2019-01-01,2025-12-31
A326,BOM JESUS DO PIAUI,-9.07999999,-44.32777777,288.0,2019-01-01,2025-12-31
A327,PALMEIRA DOS INDIOS,-9.42027777,-36.62027777,278.01,2019-01-01,2025-12-31
A328,SURUBIM,-7.84249999,-35.79027777,421.44,2019-01-01,2025-12-31
A329,CABROBO,-8.50388888,-39.31527777,342.74,2019-01-01,2025-12-31
A330,PAULISTANA,-8.13222221,-41.14305555,376.0,2019-01-01,2025-12-31
A331,SAO JOAO DO PIAUI,-8.36444444,-42.2525,231.0,2019-01-01,2025-12-31
A332,MORADA NOVA,-5.0911111,-38.36472222,93.0,2019-01-01,2025-12-31
A333,SAO GONCALO,-6.83583333,-38.31166666,237.04,2019-01-01,2025-12-31
A334,MONTEIRO,-7.89444444,-37.12472221,606.39,2019-01-01,2025-12-31
A335,PIRIPIRI,-4.2761111,-41.79444444,157.89,2019-01-01,2025-12-31
A336,ALVORADA DO GURGUEIA,-8.37638888,-43.85944444,225.0,2019-01-01,2025-12-31
A337,CARACOL,-9.28583333,-43.32444443,515.3,2019-01-01,2025-12-31
A339,JAGUARUANA,-4.83777777,-37.69972221,12.0,2019-01-01,2025-12-31
A340,APODI,-5.62666666,-37.815,131.41,2019-01-01,2025-12-31
A341,CARUARU,-8.35611111,-36.02833332,837.0,2019-01-01,2025-12-31
A342,CRATEUS,-5.18666666,-40.67222221,298.19,2019-01-01,2025-12-31
A343,PICOS,-7.0711111,-41.40416666,232.91,2019-01-01,2025-12-31
A344,CALCANHAR,-5.16,-35.48749999,9.82,2019-01-01,2025-12-31
A345,SAO RAIMUNDO NONATO,-9.03305554,-42.70111111,385.0,2019-01-01,2025-12-31
A346,URUCUI,-7.44138888,-44.34499999,398.83,2019-01-01,2025-12-31
A347,CAMPOS SALES,-7.07777777,-40.36277777,577.95,2019-01-01,2025-12-31
A348,CABACEIRAS,-7.48333333,-36.28638888,391.96,2019-01-01,2025-12-31
A349,IBIMIRIM,-8.50944444,-37.71166666,434.23,2019-01-01,2025-12-31
A350,SERRA TALHADA,-7.95416666,-38.29499999,499.02,2019-01-01,2025-12-31
A351,FLORESTA,-8.59888888,-38.58416666,327.42,2019-01-01,2025-12-31
A352,CAMARATUBA,-6.56194444,-35.13527777,135.51,2019-01-01,2025-12-31
A353,ARAPIRACA,-9.80444444,-36.61916666,236.84,2019-01-01,2025-12-31
A354,OEIRAS,-6.97416666,-42.14694444,154.03,2019-01-01,2025-12-31
A355,CORURIPE,-10.1286111,-36.28638888,82.39,2019-01-01,2025-12-31
A356,SAO LUIS DO QUITUNDE,-9.28749999,-35.56583333,13.69,2019-01-01,2025-12-31
A357,PALMARES,-8.66666666,-35.56805554,164.01,2019-01-01,2025-12-31
A358,JAGUARIBE,-5.90555555,-38.62777777,149.31,2019-01-01,2025-12-31
A359,ITAPIPOCA,-3.48416666,-39.5886111,104.49,2019-01-01,2025-12-31
A360,ACARAU,-3.1211111,-40.08722221,67.15,2019-01-01,2025-12-31
A361,CASTELO DO PIAUI,-5.34916666,-41.51222222,268.75,2019-01-01,2025-12-31
A362,SAO PEDRO DO PIAUI,-5.91111111,-42.7186111,295.81,2019-01-01,2019-11-12
A363,VALENCA DO PIAUI,-6.4236111,-41.74888888,372.0,2019-01-01,2025-12-31
A364,GILBUES,-9.87527777,-45.34583333,425.1,2019-01-01,2025-12-31
A365,CANTO DO BURITI,-8.11805554,-42.97583332,312.07,2019-01-01,2025-12-31
A366,OURICURI,-7.88583333,-40.10277777,457.85,2019-01-01,2025-12-31
A367,SANTA CRUZ,-6.22805554,-36.02666666,227.49,2019-01-01,2025-12-31
A368,TIANGUA,-3.73222221,-41.01194444,756.0,2019-01-01,2025-12-31
A369,QUIXADA,-4.97888888,-39.05722222,193.0,2019-01-01,2025-12-31
A370,SALGUEIRO,-8.05805555,-39.0961111,447.0,2019-01-01,2025-12-31
A371,PIRANHAS,-9.62222221,-37.76722221,187.0,2019-01-01,2025-12-31
A372,IPANGUACU,-5.53499999,-36.87222221,19.0,2019-01-01,2025-12-31
A373,ITAPORANGA,-7.31833332,-38.14083333,292.0,2019-01-01,2025-12-31
A374,CORRENTE,-10.42916666,-45.17305554,452.0,2019-01-01,2025-12-31
A375,BAIXA GRANDE DO RIBEIRO,-8.333531,-45.094625,519.0,2019-01-01,2025-12-31
A376,CAMPO MAIOR,-4.86416666,-42.14555555,125.0,2019-01-01,2025-12-31
A377,ANGICAL DO PIAUI,-6.08944444,-42.72749999,183.0,2019-11-13,2025-12-31
A401,SALVADOR,-13.00555555,-38.50583333,47.56,2019-01-01,2025-12-31
A402,BARREIRAS,-12.12472221,-45.02694443,474.17,2019-01-01,2025-12-31
A404,LUIS EDUARDO MAGALHAES,-12.1525,-45.82972221,760.68,2019-01-01,2025-12-31
A405,CARAVELAS,-17.73944444,-39.25861111,6.05,2019-01-01,2025-12-31
A406,CRUZ DAS ALMAS,-12.67555554,-39.08944444,219.76,2019-01-01,2025-12-31
A407,ITIRUCU,-13.52777777,-40.11972221,757.42,2019-01-01,2025-12-31
A408,ITABERABA,-12.52416666,-40.29972221,250.11,2019-01-01,2025-12-31
A409,ARACAJU,-10.9525,-37.05444444,3.72,2019-01-01,2025-12-31
A410,ILHEUS,-14.65888888,-39.18138888,80.21,2019-01-01,2025-12-31
A412,MACAJUBA,-12.13166666,-40.35416666,360.0,2019-01-01,2025-12-31
A413,FEIRA DE SANTANA,-12.1961111,-38.96749999,229.64,2019-01-01,2025-12-31
A414,VITORIA DA CONQUISTA,-14.88638888,-40.80138888,879.38,2019-01-01,2025-12-31
A415,SANTA RITA DE CASSIA,-11.00333333,-44.53638888,450.0,2019-01-01,2025-12-31
A416,CORRENTINA,-13.33249999,-44.61749999,551.71,2019-01-01,2025-12-31
A417,ITABAIANINHA,-11.27249999,-37.79499999,204.8,2019-01-01,2025-12-31
A418,BOM JESUS DA LAPA,-13.25111111,-43.40527777,447.75,2019-01-01,2025-12-31
A419,POCO VERDE,-10.73805555,-38.10833333,367.01,2019-01-01,2025-12-31
A420,CARIRA,-10.39972221,-37.74749999,289.92,2019-01-01,2022-09-04
A421,BREJO GRANDE,-10.47388888,-36.48194443,6.11,2019-01-01,2025-12-31
A422,ABROLHOS,-17.96305555,-38.70333333,20.93,2019-01-01,2025-12-31
A423,REMANSO,-9.62555554,-42.07722221,397.4,2019-01-01,2025-12-31
A424,IRECE,-11.32888888,-41.86444444,768.42,2019-01-01,2025-12-31
A425,LENCOIS,-12.55777777,-41.38888888,438.09,2019-01-01,2025-12-31
A426,GUANAMBI,-14.20805555,-42.74972221,552.23,2019-01-01,2025-12-31
A427,PORTO SEGURO,-16.38888888,-39.18249999,86.36,2019-01-01,2025-12-31
A428,SENHOR DO BONFIM,-10.44305555,-40.14833333,532.09,2019-01-01,2025-12-31
A429,BARRA,-11.08472221,-43.13888888,407.5,2019-01-01,2025-12-31
A430,PIATA,-13.15555555,-41.77416666,1283.95,2019-01-01,2025-12-31
A431,CONDE,-12.03583333,-37.68388888,31.9,2019-01-01,2025-12-31
A432,BURITIRAMA,-10.72305554,-43.65111111,506.06,2019-01-01,2025-12-31
A433,BRUMADO,-14.18194443,-41.67222221,473.37,2019-01-01,2025-12-31
A434,AMARGOSA,-13.00944444,-39.61694443,397.8,2019-01-01,2025-12-31
A435,UAUA,-9.8336111,-39.49555555,450.6,2019-01-01,2022-09-08
A436,QUEIMADAS,-10.98472221,-39.61694443,310.11,2019-01-01,2025-12-31
A437,UNA,-15.28027777,-39.09138888,74.08,2019-01-01,2025-12-31
A438,MARAU,-13.90694444,-38.97222221,6.24,2019-01-01,2025-12-31
A439,IBOTIRAMA,-12.19305555,-43.21333333,425.12,2019-01-01,2025-12-31
A440,JACOBINA,-11.205,-40.465,440.78,2019-01-01,2025-12-31
A441,SERRINHA,-11.66472222,-39.02305554,337.79,2019-01-01,2025-12-31
A442,EUCLIDES DA CUNHA,-10.53722221,-38.99666666,431.96,2019-01-01,2025-12-31
A443,DELFINO,-10.455,-41.20694444,646.24,2019-01-01,2025-12-31
A444,VALENCA,-13.3436111,-39.12666666,93.12,2019-01-01,2025-12-31
A445,IPIAU,-14.17138888,-39.69249999,132.11,2019-01-01,2025-12-31
A446,ITAPETINGA,-15.24472221,-40.22944443,271.48,2019-01-01,2025-12-31
A447,BELMONTE,-16.08805555,-39.21527777,89.67,2019-01-01,2025-12-31
A448,CURACA,-9.00138888,-39.9125,370.0,2019-01-01,2025-12-31
A449,PILAO ARCADO,-10.01833332,-42.50027777,385.0,2019-01-01,2022-09-12
A450,JEREMOABO,-10.08083332,-38.34583333,261.0,2019-01-01,2025-12-31
A451,ITABAIANA,-10.67166666,-37.47138888,213.0,2019-01-01,2025-12-31
A452,FORMOSA DO RIO PRETO,-11.05222222,-45.20083333,488.0,2019-01-01,2025-12-31
A453,NOSSA SENHORA DA GLORIA,-10.20777777,-37.43194443,271.0,2019-01-01,2025-12-31
A454,MACAUBAS,-13.03888888,-42.61722221,574.0,2019-01-01,2019-04-21
A455,ITAMARAJU,-17.00694444,-39.55805555,110.0,2019-01-01,2025-12-31
A456,SALVADOR (RADIO FAROL),-12.80833333,-38.49583333,31.0,2019-01-01,2025-12-31
A458,RIBEIRA DO AMPARO,-11.05861111,-38.44416666,182.0,2019-01-01,2025-12-31
A502,BARBACENA,-21.22833332,-43.76777777,1168.76,2019-01-01,2025-12-31
A505,ARAXA,-19.60583333,-46.94972221,1018.32,2019-01-01,2025-12-31
A506,MONTES CLAROS,-16.68638888,-43.84388888,645.87,2019-01-01,2025-12-31
A507,UBERLANDIA,-18.91694443,-48.25555555,874.77,2019-01-01,2025-12-31
A508,ALMENARA,-16.16666666,-40.68777777,189.11,2019-01-01,2025-12-31
A509,MONTE VERDE,-22.86166666,-46.04333333,1544.89,2019-01-01,2025-12-31
A510,VICOSA,-20.7625,-42.86388888,697.64,2019-01-01,2025-12-31
A511,TIMOTEO,-19.57388888,-42.62249999,493.42,2019-01-01,2025-12-31
A512,ITUIUTABA,-18.95277777,-49.52499999,540.08,2019-01-01,2025-12-31
A513,OURO BRANCO,-20.55666666,-43.75611111,1048.2,2019-01-01,2025-12-31
A514,SAO JOAO DEL REI,-21.10638888,-44.25083333,929.88,2019-01-01,2025-12-31
A515,VARGINHA,-21.56638888,-45.40416666,949.78,2019-01-01,2025-12-31
A516,PASSOS,-20.74527777,-46.63388888,781.7,2019-01-01,2025-12-31
A517,MURIAE,-21.105,-42.37583332,282.79,2019-01-01,2025-12-31
A518,JUIZ DE FORA,-21.76999999,-43.36444444,936.88,2019-01-01,2025-12-31
A519,CAMPINA VERDE,-19.53916666,-49.51805554,559.07,2019-01-01,2025-12-31
A520,CONCEICAO DAS ALAGOAS,-19.98583333,-48.15166666,572.54,2019-01-01,2025-12-31
A521,BELO HORIZONTE - PAMPULHA,-19.88388888,-43.96944443,854.02,2019-01-01,2025-12-31
A522,SERRA DOS AIMORES,-17.79888888,-40.25,211.97,2019-01-01,2025-12-31
A523,PATROCINIO,-18.99666666,-46.98583333,978.11,2019-01-01,2025-12-31
A524,FORMIGA,-20.455,-45.45388888,878.14,2019-01-01,2025-12-31
A525,SACRAMENTO,-19.87527777,-47.43416666,913.12,2019-01-01,2025-12-31
A526,MONTALVANIA,-14.40833333,-44.40416666,519.52,2019-01-01,2025-12-31
A527,TEOFILO OTONI,-17.89277777,-41.51555555,467.17,2019-01-01,2025-12-31
A528,TRES MARIAS,-18.20083333,-45.45972222,931.01,2019-01-01,2025-12-31
A529,PASSA QUATRO,-22.39583333,-44.96194444,1017.1,2019-01-01,2025-12-31
A530,CALDAS,-21.91805554,-46.38305554,1077.34,2019-01-01,2025-12-31
A531,MARIA DA FE,-22.31444444,-45.37305554,1281.43,2019-01-01,2025-12-31
A532,GOVERNADOR VALADARES,-18.83027777,-41.97694443,198.24,2019-01-01,2025-12-31
A533,GUANHAES,-18.78694444,-42.94305555,852.68,2019-01-01,2025-12-31
A534,AIMORES,-19.53277777,-41.09083333,301.0,2019-01-01,2025-12-31
A535,FLORESTAL,-19.88527777,-44.41694443,753.5,2019-01-01,2025-12-31
A536,DORES DO INDAIA,-19.48194443,-45.59388888,721.09,2019-01-01,2025-12-31
A537,DIAMANTINA,-18.231052,-43.648269,1359.25,2019-01-01,2025-12-31
A538,CURVELO,-18.74777777,-44.45388888,669.48,2019-01-01,2025-12-31
A539,MOCAMBINHO,-15.08583333,-44.01611111,454.0,2019-01-01,2025-12-31
A540,MANTENA,-18.78055554,-40.98638888,254.91,2019-01-01,2025-12-31
A541,CAPELINHA,-17.70555555,-42.38916666,932.06,2019-01-01,2025-12-31
A542,UNAI,-16.55416666,-46.88194443,640.85,2019-01-01,2025-12-31
A543,ESPINOSA,-14.91222222,-42.80861111,565.36,2019-01-01,2025-12-31
A544,BURITIS,-15.52416666,-46.43555555,894.0,2019-01-01,2025-12-31
A545,PIRAPORA,-17.258064,-44.835556,505.32,2019-01-01,2025-12-31
A546,GUARDA-MOR,-17.56138888,-47.19916666,997.01,2019-01-01,2025-12-31
A547,SAO ROMAO,-16.36277777,-45.12388888,490.29,2019-01-01,2025-12-31
A548,CHAPADA GAUCHA,-15.30027777,-45.61749999,873.2,2019-01-01,2025-12-31
A549,AGUAS VERMELHAS,-15.75166666,-41.45777777,754.07,2019-01-01,2025-12-31
A550,ITAOBIM,-16.57555554,-41.48555555,271.63,2019-01-01,2025-12-31
A551,RIO PARDO DE MINAS,-15.72305554,-42.43583333,850.06,2019-01-01,2025-12-31
A552,SALINAS,-16.16027777,-42.31027777,487.14,2019-01-01,2025-12-31
A553,JOAO PINHEIRO,-17.78444444,-46.11944443,877.05,2019-01-01,2025-12-31
A554,CARATINGA,-19.73583333,-42.13722221,609.25,2019-01-01,2025-12-31
A555,IBIRITE (ROLA MOCA),-20.03138888,-44.01111111,1198.82,2019-01-01,2025-12-31
A556,MANHUACU,-20.26333333,-42.18277777,819.47,2019-01-01,2025-12-31
